"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 22 05:31:53 UTC 2025","Tue Jul 22 05:31:53 UTC 2025","168","tests","test_login","","","","test_reg[log_fail_wrong_pwd]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","41","tests","test_check_default","","","","test_default_check[heading-sub-exists]",""
"broken","Tue Jul 22 05:31:59 UTC 2025","Tue Jul 22 05:31:59 UTC 2025","290","tests","test_reg","","","","test_reg[valid-case-short-domain]",""
"passed","Tue Jul 22 05:31:50 UTC 2025","Tue Jul 22 05:31:51 UTC 2025","137","tests","test_click","","","","test_default_check[click-h2-update-show]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","30","tests","test_check_default","","","","test_default_check[input-reg-username-exists]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","44","tests","test_check_default","","","","test_default_check[link-google-exists]",""
"failed","Tue Jul 22 05:31:59 UTC 2025","Tue Jul 22 05:31:59 UTC 2025","291","tests","test_reg","","","","test_reg[valid-case-lowercase-password]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","32","tests","test_check_default","","","","test_input_default[placeholder-reg-confirm]",""
"passed","Tue Jul 22 05:32:00 UTC 2025","Tue Jul 22 05:32:00 UTC 2025","140","tests","test_select","","","","test_default_check[select-option-3]",""
"broken","Tue Jul 22 05:31:58 UTC 2025","Tue Jul 22 05:31:58 UTC 2025","321","tests","test_reg","","","","test_reg[password-confirm-mismatch]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","31","tests","test_check_default","","","","test_default_check[input-login-password-exists]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","32","tests","test_check_default","","","","test_input_default[placeholder-reg-username]",""
"broken","Tue Jul 22 05:31:57 UTC 2025","Tue Jul 22 05:31:57 UTC 2025","275","tests","test_reg","","","","test_reg[missing-number-in-password]",""
"passed","Tue Jul 22 05:31:52 UTC 2025","Tue Jul 22 05:31:52 UTC 2025","124","tests","test_input_send","","","","test_input_send[submit-empty-name]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","31","tests","test_check_default","","","","test_input_default[placeholder-reg-password]",""
"broken","Tue Jul 22 05:31:55 UTC 2025","Tue Jul 22 05:31:55 UTC 2025","275","tests","test_reg","","","","test_reg[invalid-email-at-start]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","34","tests","test_check_default","","","","test_input_default[default-show-value]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","31","tests","test_check_default","","","","test_default_check[text-submit-status-exists]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:50 UTC 2025","38","tests","test_check_default","","","","test_input_default[default-submit-status-text]",""
"failed","Tue Jul 22 05:31:53 UTC 2025","Tue Jul 22 05:31:54 UTC 2025","926","tests","test_login","","","","test_reg[log_pass]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","30","tests","test_check_default","","","","test_default_check[input-login-username-exists]",""
"passed","Tue Jul 22 05:32:00 UTC 2025","Tue Jul 22 05:32:00 UTC 2025","102","tests","test_select","","","","test_default_check[select-option-1]",""
"passed","Tue Jul 22 05:31:51 UTC 2025","Tue Jul 22 05:31:51 UTC 2025","77","tests","test_click","","","","test_default_check[click-button-update-show]",""
"broken","Tue Jul 22 05:31:56 UTC 2025","Tue Jul 22 05:31:56 UTC 2025","291","tests","test_reg","","","","test_reg[missing-at-symbol]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","31","tests","test_check_default","","","","test_default_check[button-login-exists]",""
"passed","Tue Jul 22 05:31:48 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","744","tests","test_check_default","","","","test_default_check[heading-main-exists]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","72","tests","test_check_default","","","","test_default_check[select-dropdown-exists]",""
"broken","Tue Jul 22 05:31:58 UTC 2025","Tue Jul 22 05:31:58 UTC 2025","289","tests","test_reg","","","","test_reg[no-uppercase-password]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","33","tests","test_check_default","","","","test_input_default[placeholder-login-password]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","46","tests","test_check_default","","","","test_input_default[placeholder-name]",""
"passed","Tue Jul 22 05:31:49 UTC 2025","Tue Jul 22 05:31:49 UTC 2025","32","tests","test_check_default","","","","test_default_check[button-register-exists]",""
