"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 18 07:15:18 UTC 2025","Fri Jul 18 07:15:18 UTC 2025","62","tests","test_select","","","","test_default_check[select-option-1]",""
"passed","Fri Jul 18 07:15:13 UTC 2025","Fri Jul 18 07:15:13 UTC 2025","283","tests","test_reg","","","","test_reg[valid-case-short-domain]",""
"passed","Fri Jul 18 07:14:54 UTC 2025","Fri Jul 18 07:14:54 UTC 2025","22","tests","test_check_default","","","","test_default_check[input-reg-password-exists]",""
"failed","Fri Jul 18 07:15:06 UTC 2025","Fri Jul 18 07:15:06 UTC 2025","646","tests","test_login","","","","test_reg[log_pass]",""
"passed","Fri Jul 18 07:14:54 UTC 2025","Fri Jul 18 07:14:54 UTC 2025","29","tests","test_check_default","","","","test_input_default[placeholder-reg-confirm]",""
"passed","Fri Jul 18 07:14:54 UTC 2025","Fri Jul 18 07:14:54 UTC 2025","31","tests","test_check_default","","","","test_default_check[button-login-exists]",""
"passed","Fri Jul 18 07:15:11 UTC 2025","Fri Jul 18 07:15:11 UTC 2025","292","tests","test_reg","","","","test_reg[no_dot]",""
"passed","Fri Jul 18 07:14:54 UTC 2025","Fri Jul 18 07:14:54 UTC 2025","37","tests","test_check_default","","","","test_default_check[link-google-exists]",""
"passed","Fri Jul 18 07:14:52 UTC 2025","Fri Jul 18 07:14:54 UTC 2025","1699","tests","test_check_default","","","","test_default_check[heading-main-exists]",""
"passed","Fri Jul 18 07:15:13 UTC 2025","Fri Jul 18 07:15:13 UTC 2025","284","tests","test_reg","","","","test_reg[password-confirm-mismatch]",""
"passed","Fri Jul 18 07:15:11 UTC 2025","Fri Jul 18 07:15:11 UTC 2025","298","tests","test_reg","","","","test_reg[missing-at-symbol]",""
"passed","Fri Jul 18 07:14:54 UTC 2025","Fri Jul 18 07:14:55 UTC 2025","30","tests","test_check_default","","","","test_input_default[default-show-value]",""
"passed","Fri Jul 18 07:15:05 UTC 2025","Fri Jul 18 07:15:06 UTC 2025","661","tests","test_login","","","","test_reg[log_fail_1]",""
"passed","Fri Jul 18 07:15:11 UTC 2025","Fri Jul 18 07:15:12 UTC 2025","297","tests","test_reg","","","","test_reg[missing-number-in-password]",""
"passed","Fri Jul 18 07:14:54 UTC 2025","Fri Jul 18 07:14:54 UTC 2025","26","tests","test_check_default","","","","test_default_check[input-reg-confirm-exists]",""
"passed","Fri Jul 18 07:14:54 UTC 2025","Fri Jul 18 07:14:54 UTC 2025","91","tests","test_check_default","","","","test_default_check[input-name-exists]",""
